breeds,precision,recall,f1-score,support
Chihuahua,0.8723404255319149,0.7884615384615384,0.8282828282828283,52.0
Japanese_spaniel,0.8351648351648352,0.8941176470588236,0.8636363636363636,85.0
Maltese_dog,0.9558823529411765,0.8552631578947368,0.9027777777777778,152.0
Pekinese,0.8913043478260869,0.8367346938775511,0.8631578947368421,49.0
Shih-tzu,0.8198198198198198,0.7982456140350878,0.8088888888888889,114.0
Blenheim_spaniel,0.9647058823529412,0.9318181818181818,0.9479768786127167,88.0
Papillon,0.9368421052631579,0.9270833333333334,0.9319371727748692,96.0
Toy_terrier,0.8472222222222222,0.8472222222222222,0.8472222222222222,72.0
Rhodesian_ridgeback,0.7761194029850746,0.7222222222222222,0.7482014388489208,72.0
Afghan_hound,0.9647887323943662,0.9856115107913669,0.9750889679715302,139.0
Basset,0.8690476190476191,0.9733333333333334,0.9182389937106918,75.0
Beagle,0.8260869565217391,0.8,0.8128342245989306,95.0
Bloodhound,0.9186046511627907,0.9080459770114943,0.9132947976878613,87.0
Bluetick,0.9264705882352942,0.8873239436619719,0.906474820143885,71.0
Black-and-tan_coonhound,0.9019607843137255,0.7796610169491526,0.8363636363636364,59.0
Walker_hound,0.6,0.5660377358490566,0.5825242718446602,53.0
English_foxhound,0.6379310344827587,0.6491228070175439,0.6434782608695653,57.0
Redbone,0.782608695652174,0.75,0.7659574468085107,48.0
Borzoi,0.9387755102040817,0.9019607843137255,0.92,51.0
Irish_wolfhound,0.8267716535433071,0.8898305084745762,0.8571428571428571,118.0
Italian_greyhound,0.8333333333333334,0.7926829268292683,0.8125000000000001,82.0
Whippet,0.8461538461538461,0.7586206896551724,0.8,87.0
Ibizan_hound,0.9166666666666666,0.875,0.8953488372093024,88.0
Norwegian_elkhound,0.9479166666666666,0.9479166666666666,0.9479166666666666,96.0
Otterhound,0.8727272727272727,0.9411764705882353,0.9056603773584905,51.0
Saluki,0.9292929292929293,0.92,0.9246231155778895,100.0
Scottish_deerhound,0.9322033898305084,0.8333333333333334,0.8800000000000001,132.0
Weimaraner,0.8805970149253731,0.9833333333333333,0.9291338582677166,60.0
Staffordshire_bullterrier,0.7391304347826086,0.6181818181818182,0.6732673267326733,55.0
American_staffordshire_terrier,0.684931506849315,0.78125,0.7299270072992701,64.0
Bedlington_terrier,0.9876543209876543,0.975609756097561,0.9815950920245398,82.0
Border_terrier,0.9571428571428572,0.9305555555555556,0.943661971830986,72.0
Kerry_blue_terrier,0.948051948051948,0.9240506329113924,0.9358974358974359,79.0
Irish_terrier,0.8970588235294118,0.8840579710144928,0.8905109489051095,69.0
Norfolk_terrier,0.7066666666666667,0.7361111111111112,0.7210884353741497,72.0
Norwich_terrier,0.7926829268292683,0.7647058823529411,0.7784431137724551,85.0
Yorkshire_terrier,0.71875,0.71875,0.71875,64.0
Wire-haired_fox_terrier,0.8076923076923077,0.7368421052631579,0.7706422018348624,57.0
Lakeland_terrier,0.845360824742268,0.845360824742268,0.845360824742268,97.0
Sealyham_terrier,0.9504950495049505,0.9411764705882353,0.9458128078817734,102.0
Airedale,0.9183673469387755,0.8823529411764706,0.9,102.0
Cairn,0.8090909090909091,0.9175257731958762,0.8599033816425121,97.0
Australian_terrier,0.7956989247311828,0.7708333333333334,0.7830687830687831,96.0
Dandie_dinmont,0.9382716049382716,0.95,0.9440993788819876,80.0
Boston_bull,0.9722222222222222,0.8536585365853658,0.9090909090909091,82.0
Miniature_schnauzer,0.7777777777777778,0.7777777777777778,0.7777777777777778,54.0
Giant_schnauzer,0.7903225806451613,0.8596491228070176,0.823529411764706,57.0
Standard_schnauzer,0.7142857142857143,0.7272727272727273,0.7207207207207208,55.0
Scotch_terrier,0.8947368421052632,0.8793103448275862,0.8869565217391304,58.0
Tibetan_terrier,0.8446601941747572,0.8207547169811321,0.832535885167464,106.0
Silky_terrier,0.8266666666666667,0.7469879518072289,0.7848101265822784,83.0
Soft-coated_wheaten_terrier,0.8214285714285714,0.8214285714285714,0.8214285714285714,56.0
West_highland_white_terrier,0.84,0.9130434782608695,0.8749999999999999,69.0
Lhasa,0.6904761904761905,0.6744186046511628,0.6823529411764705,86.0
Flat-coated_retriever,0.8245614035087719,0.9038461538461539,0.8623853211009175,52.0
Curly-coated_retriever,0.8846153846153846,0.9019607843137255,0.8932038834951457,51.0
Golden_retriever,0.9019607843137255,0.92,0.9108910891089109,50.0
Labrador_retriever,0.8472222222222222,0.8591549295774648,0.8531468531468532,71.0
Chesapeake_bay_retriever,0.9833333333333333,0.8805970149253731,0.9291338582677166,67.0
German_short-haired_pointer,0.8867924528301887,0.9038461538461539,0.8952380952380953,52.0
Vizsla,0.8166666666666667,0.9074074074074074,0.8596491228070176,54.0
English_setter,0.9636363636363636,0.8688524590163934,0.9137931034482758,61.0
Irish_setter,0.9636363636363636,0.9636363636363636,0.9636363636363636,55.0
Gordon_setter,0.9090909090909091,0.9433962264150944,0.9259259259259259,53.0
Brittany_spaniel,0.8867924528301887,0.9038461538461539,0.8952380952380953,52.0
Clumber,0.8888888888888888,0.96,0.923076923076923,50.0
English_springer,0.8852459016393442,0.9152542372881356,0.9,59.0
Welsh_springer_spaniel,0.8490566037735849,0.9,0.8737864077669903,50.0
Cocker_spaniel,0.8771929824561403,0.847457627118644,0.8620689655172413,59.0
Sussex_spaniel,0.9038461538461539,0.9215686274509803,0.9126213592233009,51.0
Irish_water_spaniel,0.8518518518518519,0.92,0.8846153846153846,50.0
Kuvasz,0.8235294117647058,0.84,0.8316831683168315,50.0
Schipperke,0.9454545454545454,0.9629629629629629,0.9541284403669724,54.0
Groenendael,0.8596491228070176,0.98,0.9158878504672898,50.0
Malinois,0.8775510204081632,0.86,0.8686868686868686,50.0
Briard,0.7538461538461538,0.9423076923076923,0.8376068376068375,52.0
