,Chihuahua,Japanese_spaniel,Maltese_dog,Pekinese,Shih-tzu,Blenheim_spaniel,Papillon,Toy_terrier,Rhodesian_ridgeback,Afghan_hound,Basset,Beagle,Bloodhound,Bluetick,Black-and-tan_coonhound,Walker_hound,English_foxhound,Redbone,Borzoi,Irish_wolfhound,Italian_greyhound,Whippet,Ibizan_hound,Norwegian_elkhound,Otterhound,Saluki,Scottish_deerhound,Weimaraner,Staffordshire_bullterrier,American_staffordshire_terrier,Bedlington_terrier,Border_terrier,Kerry_blue_terrier,Irish_terrier,Norfolk_terrier,Norwich_terrier,Yorkshire_terrier,Wire-haired_fox_terrier,Lakeland_terrier,Sealyham_terrier,Airedale,Cairn,Australian_terrier,Dandie_dinmont,Boston_bull,Miniature_schnauzer,Giant_schnauzer,Standard_schnauzer,Scotch_terrier,Tibetan_terrier,Silky_terrier,Soft-coated_wheaten_terrier,West_highland_white_terrier,Lhasa,Flat-coated_retriever,Curly-coated_retriever,Golden_retriever,Labrador_retriever,Chesapeake_bay_retriever,German_short-haired_pointer,Vizsla,English_setter,Irish_setter,Gordon_setter,Brittany_spaniel,Clumber,English_springer,Welsh_springer_spaniel,Cocker_spaniel,Sussex_spaniel,Irish_water_spaniel,Kuvasz,Schipperke,Groenendael,Malinois,Briard,Kelpie,Komondor,Old_english_sheepdog,Shetland_sheepdog,Collie,Border_collie,Bouvier_des_flandres,Rottweiler,German_shepherd,Doberman,Miniature_pinscher,Greater_swiss_mountain_dog,Bernese_mountain_dog,Appenzeller,Entlebucher,Boxer,Bull_mastiff,Tibetan_mastiff,French_bulldog,Great_dane,Saint_bernard,Eskimo_dog,Malamute,Siberian_husky,Affenpinscher,Basenji,Pug,Leonberg,Newfoundland,Great_pyrenees,Samoyed,Pomeranian,Chow,Keeshond,Brabancon_griffon,Pembroke,Cardigan,Toy_poodle,Miniature_poodle,Standard_poodle,Mexican_hairless,Dingo,Dhole,African_hunting_dog
Chihuahua,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0
Japanese_spaniel,0,76,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maltese_dog,0,0,130,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Pekinese,0,2,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Shih-tzu,0,3,0,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Blenheim_spaniel,0,3,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillon,0,5,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Toy_terrier,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rhodesian_ridgeback,0,0,0,0,0,0,0,0,52,0,0,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan_hound,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
