Position,class,breed_name,size,exercise,size_of_home,grooming,coat_length,sheds,lifespan,vulnerable_native_breed,town_or_country,size_of_garden
1,TOY,Affenpinscher,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
2,HOUND,Afghan Hound,Large,More than 2 hours per day,Large house,Every day,Long,Yes,Over 10 years,No,Country,Large garden
3,TERRIER,Airedale Terrier,Medium,Up to 1 hour per day,Large house,Every day,Medium,Yes,Over 10 years,No,Either,Large garden
4,UTILITY,Akita,Large,More than 2 hours per day,Large house,Once a week,Short,Yes,Over 10 years,No,Either,Large garden
5,WORKING,Alaskan Malamute,Large,More than 2 hours per day,Large house,Every day,Medium,Yes,Over 10 years,No,Country,Large garden
6,PASTORAL,Anatolian Shepherd Dog,Large,More than 2 hours per day,Large house,More than once a week,Short,Yes,Over 10 years,No,Country,Large garden
7,PASTORAL,Australian Cattle Dog,Medium,More than 2 hours per day,Small house,Once a week,Short,Yes,Over 10 years,No,Country,Small/ medium garden
8,PASTORAL,Australian Shepherd,Medium,More than 2 hours per day,Large house,More than once a week,Medium,Yes,Over 10 years,No,Country,Large garden
9,TOY,Australian Silky Terrier,Small,Up to 30 minutes per day,Flat/ Apartment,Every day,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
10,TERRIER,Australian Terrier,Small,Up to 1 hour per day,Flat/ Apartment,More than once a week,Medium,Yes,Over 12 years,No,Either,Small/ medium garden
11,HOUND,Azawakh (Imp),Medium,More than 2 hours per day,Large house,Once a week,Short,No,Over 10 years,No,Either,Large garden
12,GUNDOG,Barbet (Imp),Medium,Up to 1 hour per day,Small house,More than once a week,Medium,No,Over 10 years,No,Country,Small/ medium garden
13,HOUND,Basenji,Small,Up to 1 hour per day,Small house,Once a week,Short,Yes,Over 12 years,No,Either,Small/ medium garden
14,HOUND,Basset Bleu De Gascogne (Imp),Medium,More than 2 hours per day,Small house,Once a week,Short,Yes,Over 10 years,No,Country,Large garden
